"Name","Address","City","AZ","DaysofOperation","Phone","Eligibility","AUTO_UNIQUE_ID_2020-03-26_jennismarie_FoodBanks","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","CensusYear","CensusPlaceFips","CensusMsaFips","CensusMetDivFips","CensusMcdFips","CensusCbsaMicro","CensusCbsaFips","CensusBlock","CensusBlockGroup","CensusTract","CensusCountyFips","CensusStateFips","naaccrCertCode","naaccrCertType"
"Agua Fria Food & Clothing Bank","405 E Harrison Dr, Avondale","Avondale","AZ","M-F 8am-Noon","623-932-9135","",1,"USCGeocoder",203.1336,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","138520909.130102","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.3882877586319,-112.323674263383,"Relaxed;Soundex","TwoThousandTen","04720","6200","","92601","0","38060","2031","2","0822.08","013","04","9","Missing"
"Lutheran Social Services of the Southwest: Date St","142 N Date St, Mesa","Mesa","AZ","Tue,Thu 9:00 a.m. - 11:15 a.m.,Closed 2nd Tue of the month","480-969-7221","Walk-ins served. No referral required. Photo ID.",35,"USCGeocoder",484.3744,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Lutheran Social Services of the Southwest: University Dr","5946 E University Dr, Mesa","Mesa","AZ","Mon, Wed 9:00 a.m. - 11:30 a.m.","480-284-1081","Walk-ins served. No referral required. Photo ID and proof of address.",36,"USCGeocoder",515.6196,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Mesa First Presbyterian Church Food Deacon’s Pantry","161 N Mesa Dr, Mesa","Mesa","AZ","Fri 8:00 a.m. - 8:30 a.m.","480-964-8606","Walk-ins served. No referral required.",37,"USCGeocoder",500.0976,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Native Health - Mesa","77 West Southern Avenue, Building C, Suite 301, Mesa","Mesa","AZ","Tues & Thur 9:00 - noon, 1:00-4:00 p.m.","480-550-4048","",38,"USCGeocoder",671.8687,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"New Hope Community Center","6915 E University Dr, Mesa","Mesa","AZ","Mon - Wed 9:00 a.m. - noon","480-518-3652","Walk-ins served. No referral required. Photo ID and proof of address.",39,"USCGeocoder",562.5053,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Paz de Cristo Community Center","424 W Broadway Rd, Mesa","Mesa","AZ","Dinner daily 5:30 p.m. - 6:45 p.m.,Food boxes 1st & 2nd Tue of the month 10:00 a.m. - noon,Food boxes 4th Sat of the month 10:00 a.m. - noon","480-464-2370","Walk-ins served. No referral required. Photo ID and proof of address.",40,"USCGeocoder",750.0033,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Resurrection Street Ministry","1135 E Main St, Mesa","Mesa","AZ","Tuesdays AFTER the second Monday of each month from 9:00 a.m. - 11:00 a.m. Veterans and Seniors over 60 ONLY","480-615-2799","",41,"USCGeocoder",531.2342,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Rio Vista Center Casa de Amor","819 S. MacDonald, Mesa","Mesa","AZ","Mon - Wed 9:00 a.m. - noon","480-382-9860","Walk-ins served. No referral required.",42,"USCGeocoder",515.6456,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Salvation Army: Mesa Citadel Corps","241 E 6th St Bldg 3, Mesa","Mesa","AZ","Mon - Fri 8:00 a.m.-11:30 a.m.","480-962-9103","Walk-ins served. No referral required. Photo ID. Service area is in Mesa west of Ellsworth Rd.",43,"USCGeocoder",749.9907,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Society of St Vincent de Paul: Holy Cross","1244 S Power Rd, Mesa","Mesa","AZ","Mon - Fri 9:00 a.m. - 11:00 a.m.,Summer: closed on Fridays","480-985-4259","",44,"USCGeocoder",609.3839,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Society of St Vincent de Paul: Mesa Dining Room","67 W Broadway Rd, Mesa","Mesa","AZ","Lunch daily 9:30 a.m. - 11:30 a.m.","480-649-0081","Walk-ins served. No referral required.",45,"USCGeocoder",515.6116,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Society of St Vincent de Paul: St Bridget","2213 N Lindsey Rd, Mesa","Mesa","AZ","Mon, Tues, Wed, Thurs, Sat 9:00 a.m. - 12:00 p.m.","480-807-1493","n/a",46,"USCGeocoder",499.9993,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"St. Mark’s Episcopal Church Food Pantry","322 N Horne, Mesa","Mesa","AZ","2nd & 4th Tue of the month: 10:00 a.m. - 11:30 a.m.","480-380-4738","Walk-ins served. No referral required. Photo ID and proof of address.",47,"USCGeocoder",671.8718,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Streets of Joy","451 East 4th Pl, Mesa","Mesa","AZ","Wed 3:00 p.m. - 6:00 p.m.,Sat 1:00 - 4:00 p.m.","480-453-9490","Walk-ins served. No referral required.",48,"USCGeocoder",843.7272,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"United Food Bank","263 N. Center Street, Mesa","Mesa","AZ","Help Yourself Distribution Fri 8:00 a.m. - noon","480-926-4897","n/a",49,"USCGeocoder",593.752,1,"4.1","","","11","CityCentroid","Ambiguous","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","354990723","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","2",33.4019259,-111.7173787,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","1011","1","4226.37","013","04","9","Missing"
"Paradise Valley Emergency Food Bank","10862 N 32nd St, Phoenix","Phoenix","AZ","Mon - Fri 9:00 a.m. - 4:00 p.m.","602-867-9228","Walk-ins not accepted. Please call for an appointment. Photo ID and proof of address within the Paradise Valley Unified School District.",50,"USCGeocoder",281.2575,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"All Tribes Assembly of God Church","1710 W Highland Ave, Phoenix","Phoenix","AZ","1st and 3rd Fri of the month Doors open 5:00 p.m. - 6:00 p.m.","602-728-0699","n/a",51,"USCGeocoder",124.9968,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Andre House of Arizona Inc","213 S 11th Ave, Phoenix","Phoenix","AZ","Breakfast Sat 7:30 a.m. - 8:30 a.m. and Sun 7:00 a.m. - 8:00 a.m., Dinner Mon - Thu, Sat, Sun 5:30 p.m. - 6:30 p.m.,Closed Fridays","602-252-9023","Walk-ins served. No referral required.",52,"USCGeocoder",78.0907,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Arizona Baptist Children’s Services, Phoenix","2632 W. Augusta Ave, Phoenix","Phoenix","AZ","Mon 8:30 a.m. - 12:30 p.m.,Wed 12:30 p.m. - 4:30 p.m.","602-346-2300","Walk-ins served. No referral required. Photo ID required.",53,"USCGeocoder",109.3771,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Black Family & Child Services of Arizona","1522 E Southern Ave, Phoenix","Phoenix","AZ","Mon - Fri 8:30 a.m. - 5:00 p.m.. Food distribution on Thu to approved households","602-243-1773","Appointment to complete paperwork. Completed referral. Photo ID and proof of address.",54,"USCGeocoder",93.8702,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Chicanos Por La Causa: Casa de Primavera","1617 N 45th Ave, Phoenix","Phoenix","AZ","Lunch Mon - Fri 11:30 a.m. - 12:30 p.m.","602-272-0054","Age 60 or older. Delivery available for disabled/homebound who prequalify.",55,"USCGeocoder",171.8879,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"City of Phoenix: Chinese Senior Center","2001 W Wahalla Ln, Phoenix","Phoenix","AZ","Lunch Mon - Fri 12:30 p.m.,Commodities 4th Tue of the month","602-262-6411","Age 60 or older. Under the age of 60 served with a documented disability. Reservation required. Suggested donation of $2.50 per meal.",56,"USCGeocoder",156.2644,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"City of Phoenix: Desert West Senior Center","6501 W Virginia Ave, Phoenix","Phoenix","AZ","Lunch Mon, Wed, Fri 11:30 a.m.,Lunch Tue, Thu 11:15 a.m.","602-495-3711","Age 60 or older. Under the age of 60 served with a documented disability. Reservation required. Suggested donation of $2.50 per meal.",57,"USCGeocoder",109.3699,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"City of Phoenix: Devonshire Senior Center","2802 E Devonshire Ave, Phoenix","Phoenix","AZ","Lunch Mon - Fri 11:20 a.m.,Commodities 2nd & 3rd Wed of the month 9:00 a.m.","602-262-7807","Age 60 or older. Under the age of 60 served with a documented disability. Reservation required. Suggested donation of $2.50 per meal.",58,"USCGeocoder",109.3695,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"City of Phoenix: Helen Drake Senior Center","7600 N 27th Ave, Phoenix","Phoenix","AZ","Breakfast Tue, Fri 8:00 a.m.,Lunch Mon - Fri noon,Commodities 4th Mon of the month 12:45 p.m.","602-262-4949","Age 60 or older. Under the age of 60 served with a documented disability. Reservation required. Suggested donation of $2.50 per meal.",59,"USCGeocoder",93.745,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"City of Phoenix: South Mountain Senior Center","212 E Alta Vista Rd, Phoenix","Phoenix","AZ","Breakfast Tue 8:30 a.m.,Lunch Mon- Fri 11:30 a.m.","602-262-4093","Eligibility: Age 60 or older. Under the age of 60 served with a documented disability. Reservation required. Suggested donation of $2.50 per meal.",60,"USCGeocoder",78.1316,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Covenant of Grace Ministries","906 W Peoria Ave, Phoenix","Phoenix","AZ","Tue 11:30 a.m. - 1:30 p.m.","602-678-0999","Eligibility: Walk-ins served. No referral required. Photo ID and proof of address.",61,"USCGeocoder",78.2795,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Cultural Cup Food Bank","342 E Thomas Rd, Phoenix","Phoenix","AZ","Tues - Thu 9:00 a.m. - 1:45 p.m.","602-266-8370","Walk-ins served. No referral required. Photo ID and proof of address.",62,"USCGeocoder",187.5036,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Desert Christian Fellowship","1445 W Northern Ave, Phoenix","Phoenix","AZ","Food boxes Sun 8:00 a.m. - 9:00 a.m.,Mobile pantry 3rd Fri of the month 7:00 a.m. - 9:00 a.m.","602-861-4008","Walk-ins served. No referral required.",63,"USCGeocoder",140.6334,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Desert Mission Food Bank","9229 N 4th St, Phoenix","Phoenix","AZ","Mon, Tue, Thu 8:30 a.m. - 4:00 p.m.,Wed 8:30 a.m. - 5:30 p.m.,Fri 8:30 a.m. - 2:30 p.m.,Closing at noon Tues Mar 31","602-870-6062","Walk-ins served. No referral required. Photo ID and proof of address.",64,"USCGeocoder",140.6241,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"FIBCO Family Services Inc","1141 E Jefferson St, Phoenix","Phoenix","AZ","Registration Tue 10:30 a.m. - 1:30 p.m. & Wed 10:30 a.m. - 11:30 a.m.,Food box distribution Fri 10:00 a.m.,Brown Bag Lunches Tue, Wed, Fri 10:30 a.m. - 1:30 p.m.","602-385-3900","Walk-ins served. No referral required. Photo ID and proof of address",65,"USCGeocoder",93.7442,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"First Southern Baptist Church: Phoenix","3100 W Camelback Rd, Phoenix","Phoenix","AZ","Wed 9:00 a.m. - 11:00 a.m.","602-242-6104","Walk-ins served. No referral required. Photo ID and proof of address.",66,"USCGeocoder",531.2525,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Friendly House","723 S 1st Ave, Phoenix","Phoenix","AZ","Mon - Thu 8:30 a.m. - 11:00 a.m.","602-257-1870","Walk-ins served. No referral required. Photo ID and proof of address.",67,"USCGeocoder",78.113,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Harvest Compassion Center - Maryvale","4002 N. 67th Ave., Phoenix","Phoenix","AZ","Tues and Fri 9 a.m. - 11:30 a.m.,4th Sat of every month 9 a.m. - 11:30 a.m.","623-247-0039","Walk-ins served. No referral required. Arizona ID and/or utility bill or current lease required.",68,"USCGeocoder",93.7648,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"ICM Food & Clothing Bank","501 S 9th Ave, Phoenix","Phoenix","AZ","Mon - Sat 9:00 a.m. - 11:00 a.m.","602-254-7450","Walk-ins served. No referral required. Photo ID and proof of address.",69,"USCGeocoder",78.1381,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Joshua Tree Feeding Program","214 E Willetta St, Phoenix","Phoenix","AZ","Registration Wed 9:30 a.m. - 11:45 a.m.,Food box distribution Wed 10:00 a.m. - noon","602-264-0223","HIV+ ONLY. Client application and contract. Proof of address and income. All clients must call to reserve a food box by 5:00 p.m. on the Sunday prior to distribution.",70,"USCGeocoder",156.2454,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Lisa Schexneider Ministries","1502 W. Northern Ave., Phoenix","Phoenix","AZ","Every 3rd Thurs of the month 8:00 a.m. - 10:00 a.m.","623-255-1905","Walk-ins served. No referral required.",71,"USCGeocoder",187.4889,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Living Streams Church Food Pantry","7000 N Central Ave, Phoenix","Phoenix","AZ","Tues - Thu 9:00 a.m. - 10:45 a.m.","602-957-7500","Walk-ins served. No referral required. Photo ID and proof of address.",72,"USCGeocoder",109.3648,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Mercy Hill Church","745 W Fillmore St, Phoenix","Phoenix","AZ","Tue 9:00 a.m. - noon","602-252-1423","Walk-ins served. No referral required. Photo ID.",73,"USCGeocoder",78.1164,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Neighborhood Ministries Inc.","1929 W. Fillmore St., Phoenix","Phoenix","AZ","Fri 9:30 a.m. - 11:00 a.m.","630-561-3009","Walk-ins served. No referral required. Photo ID and proof of address.",74,"USCGeocoder",124.9999,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Olives Branch Food Closet","3546 E Thomas Rd, Phoenix","Phoenix","AZ","Thu 1:00 p.m. - 4:00 p.m.","602-441-5301","Walk-ins served. No referral required. Photo ID and proof of address.",75,"USCGeocoder",187.5045,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
"Open Door Fellowship Church","8301 N 19th Ave, Phoenix","Phoenix","AZ","2nd & 4th Sat of the month Oct - Apr 9:00 a.m. - 11:30 a.m.,2nd & 4th Sat of the month May - Sep 8:00 a.m. - 10:30 a.m.","602-242-4414","Walk-ins served. No referral required. Photo ID and proof of address.",76,"USCGeocoder",109.3625,1,"4.1","","","11","CityCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1341477467","ArealInterpolationGeometricCentroid","City","50","FeatureClassBased","ReturnAll","","CityCentroid","","","1",33.5721625,-112.0879662,"Relaxed;Soundex","TwoThousandTen","","6200","","92601","0","38060","3007","3","1045.01","013","04","9","Missing"
