Name,Address,City,AZ,Days of Operation,Phone,Eligibility
Seniors Personal Assistance Corporation,"610 North Alma School, Ste. 56, Chandler",Chandler,AZ,"Mon-Thur: 8 a.m. - 3 p.m.,Fri 8 a.m. - 1 p.m.",480-237-7965,Age 60 or older. Under age 60 with a documented disability. Walk-ins served. No referral required.
Society of St Vincent de Paul: St Mary’s,"230 W Galveston St, Chandler",Chandler,AZ,"Mon, Wed, Fri: 9 a.m. - 11 a.m.",480-814-7778,
Extended Hands Food Bank (Food boxes only),"16548 E Laser Dr #6, Fountain Hills",Fountain Hills,AZ,"Mon, Fri & Sat: 9 a.m. - 11 a.m,Tue 3 p.m. - 6 p.m.",480-837-0303,Walk-ins served. No referral required. Must meet federal poverty guidelines. Proof of address required.
Gila Bend Community Action Program,"202 N Euclid Ave, Gila Bend, AZ",Gila Bend,AZ,Mon - Fri 8 a.m. - 4 p.m.,928-683-2244,Walk-ins served. No referral required. Gila Bend residents only. Call for requirements.
Gilbert Senior Center,"130 N Oak St, Gilbert",Gilbert,AZ,Lunch: Mon - Fri 11:15 a.m. - 1 p.m.,480-503-6061,Age 60 or older. Under age 60 with a documented disability. Suggested donation of $2.50 per meal. Delivery available for disabled/homebound who prequalify.
Open Arms Care Center,"522 N Gilbert Rd #103, Gilbert",Gilbert,AZ,"M,W: 1pm-3pm,Tue, Thu: 9 a.m. - 11 a.m. & 6 p.m. - 8 p.m.,Sat 9 a.m. - 11 a.m.",480-539-0175,Referral from Gilbert CAP.
Vineyard Community Church,"601 S Cooper Rd, Gilbert",Gilbert,AZ,Tue 10 a.m. - 1 p.m.,480-892-5828,Walk-ins served. No referral required. Photo ID
Hope for Hunger Food Bank,"5605 N 55th Ave, Glendale",Glendale,AZ,Mon - Thu: 8 a.m. - Noon,602-773-4344,"Photo ID, Current Utility Bill, Lease, or Rental Agreement."
Pure Heart Church,"14240 N 43rd Ave, Glendale",Glendale,AZ,"Tue, Fri: 11:30 a.m. - 1 p.m. (must arrive by 12:45 for final allotment),Thurs: 5:30 - 7 p.m. (must arrive by 6:45 for final allotment)",602-866-8850,Walk-ins served. No referral required. Photo ID and proof of address.
Salvation Army: Glendale Corps,"6010 W Northern Ave, Glendale",Glendale,AZ,Mon - Fri: 11 a.m. - 2:30 p.m.,623-934-0469,Walk-ins served. No referral required. Glendale residents only. Call for requirements. Birth certificates for children.
Vineyard Food & Clothing Bank,"6250 W Peoria Ave, Glendale",Glendale,AZ,"Mon-Tue, Thu: 7 p.m.,Wed, Sat-Sun: 9 a.m.",623-934-4000,Walk-ins served. No referral required. Photo ID and proof of address. Assistance provided to the first 35 households in line.
West Valley Community Food Pantry,"7205 N 51st Ave, Glendale",Glendale,AZ,"Mon, Wed, Thu: 9 a.m. - Noon",623-848-8278,Walk-ins served. No referral required. Photo ID.
YWCA: Valley West Senior Center,"8561 N 61st Ave, Glendale",Glendale,AZ,"Senior lunch: Mon - Fri @ Noon, Senior commodities: Wed 8 a.m. until gone,Food boxes for all ages: 1st Monday of the month starting at 8 a.m. until gone",623-931-7436,Eligibility: Age 60 or older. Suggested donation of $2.50 per meal. Meal delivery available for disabled/homebound who prequalify.
Christ Evangelical Lutheran Church Outreach Program,"918 S Litchfield Rd, Goodyear",Goodyear,AZ,Tue: 8:00 a.m. - Noon,623-932-2394,"Eligibility: Walk-ins served. No referral required. Photo ID and proof of address within the service area (99th Ave to the east, Perryville Rd to the west, McDowell Rd to the north, and the Gila River to the south). Must meet federal poverty guidelines."
Christ the King Catholic Church HOPE Outreach Ministry,"1616 E Broadway Rd, Mesa",Mesa,AZ,"Tue 10: 30 a.m. - noon,Thu 4:45 p.m. - 6:15 p.m.",480-834-6975,"Walk-ins served. No referral required. Photo ID and proof of address within the service area (Horne to the west, Val Vista to the east, Brown to the north, and Baseline to the south)."
"Christian Assistance Network, C.A.N.","6659 E. University Dr., Mesa",Mesa,AZ,Mon 9:00 a.m. - 11:00 a.m.,480-985-1660,Walk-ins served. No referral required.
Desert Manna Food Pantry,"590 N 96th St, Mesa,",Mesa,AZ,Sat 8:00 a.m. - 11:00 a.m.,480-233-0658,Walk-ins served. No referral required. Photo ID and proof of address required every visit. Must live within service area: between McKellips Rd and Southern Ave; between Meridian and Power Rd
East Mesa Food Bank,"752 S. Ellsworth, Mesa",Mesa,AZ,Sunday 4:45 p.m.,480-986-9827,Walk-ins served. No referral required.
East Valley Adult Resources: Mesa Active Adult Center,"247 N Macdonald, Mesa",Mesa,AZ,2nd Thurs 8:00 a.m. - 10:00 a.m. (Winter),480-634-4189,Age 60 or older. Anyone under 60 with a documented disability.
East Valley Adult Resources: Red Mountain Active Adult Center,"7550 E Adobe St, Mesa",Mesa,AZ,Mon - Fri: 8 a.m. - 4 p.m.,480-218-2221,Age 60 or older. Anyone under 60 with a documented disability.
Encounter AZ Church of God,"1718 N Mesa Dr, Mesa",Mesa,AZ,Thur: 9 a.m. - 11 a.m.,480-964-1083,Walk-ins served. No referral required.
Fountain of Life/Mission Kitchen 153,"6056 E. Baseline Rd., Suite 113, Mesa",Mesa,AZ,"Wed 5:30 p.m. - 6:30 p.m.,Fri 6:00 p.m. - 7:00 p.m.",480-310-3581,Walk-ins served. No referral required.
Gateway Bible Church,"1621 N Pasadena, Mesa",Mesa,AZ,2nd Thurs of the month 3:00 p.m. - 5:00 p.m.,480-834-9091,Walk-ins served. No referral required. Delivery available in some situations (call for details).
House of Refuge,"6858 East Ursula Avenue, #2, Mesa",Mesa,AZ,"Wed-Fri 9:00 a.m. - 4:30 p.m.,Sat 9:00 a.m. - 12:30 p.m.",480-988-9395,Walk-ins served. No referral required.
Lutheran Social Services of the Southwest: Date St,"142 N Date St, Mesa",Mesa,AZ,"Tue,Thu 9:00 a.m. - 11:15 a.m.,Closed 2nd Tue of the month",480-969-7221,Walk-ins served. No referral required. Photo ID.
Lutheran Social Services of the Southwest: University Dr,"5946 E University Dr, Mesa",Mesa,AZ,"Mon, Wed 9:00 a.m. - 11:30 a.m.",480-284-1081,Walk-ins served. No referral required. Photo ID and proof of address.
Mesa First Presbyterian Church Food Deacon’s Pantry,"161 N Mesa Dr, Mesa",Mesa,AZ,Fri 8:00 a.m. - 8:30 a.m.,480-964-8606,Walk-ins served. No referral required.
Native Health - Mesa,"77 West Southern Avenue, Building C, Suite 301, Mesa",Mesa,AZ,"Tues & Thur 9:00 - noon, 1:00-4:00 p.m.",480-550-4048,"Financial Need - Self-Certified, Walk-ins Served, No Referral Required"
New Hope Community Center,"6915 E University Dr, Mesa",Mesa,AZ,Mon - Wed 9:00 a.m. - noon,480-518-3652,Walk-ins served. No referral required. Photo ID and proof of address.
Paz de Cristo Community Center,"424 W Broadway Rd, Mesa",Mesa,AZ,"Dinner daily 5:30 p.m. - 6:45 p.m.,Food boxes 1st & 2nd Tue of the month 10:00 a.m. - noon,Food boxes 4th Sat of the month 10:00 a.m. - noon",480-464-2370,Walk-ins served. No referral required. Photo ID and proof of address.
Resurrection Street Ministry,"1135 E Main St, Mesa",Mesa,AZ,Tuesdays AFTER the second Monday of each month from 9:00 a.m. - 11:00 a.m. Veterans and Seniors over 60 ONLY,480-615-2799,"Walk-ins served. No referral required. Clients may come once each month, photo ID and proof of Maricopa County Residency required (or homeless registration). Seniors must be over the age of 60. Veteran."
Rio Vista Center Casa de Amor,"819 S. MacDonald, Mesa",Mesa,AZ,Mon - Wed 9:00 a.m. - noon,480-382-9860,Walk-ins served. No referral required.
Salvation Army: Mesa Citadel Corps,"241 E 6th St Bldg 3, Mesa",Mesa,AZ,Mon - Fri 8:00 a.m.-11:30 a.m.,480-962-9103,Walk-ins served. No referral required. Photo ID. Service area is in Mesa west of Ellsworth Rd.
Society of St Vincent de Paul: Holy Cross,"1244 S Power Rd, Mesa",Mesa,AZ,"Mon - Fri 9:00 a.m. - 11:00 a.m.,Summer: closed on Fridays",480-985-4259,"Must reside within the service area (Baseline on south, Main St on north, Meridian on east, and Val Vista on west). Home visits only. No referral required."
Society of St Vincent de Paul: Mesa Dining Room,"67 W Broadway Rd, Mesa",Mesa,AZ,Lunch daily 9:30 a.m. - 11:30 a.m.,480-649-0081,Walk-ins served. No referral required.
Society of St Vincent de Paul: St Bridget,"2213 N Lindsey Rd, Mesa",Mesa,AZ,"Mon, Tues, Wed, Thurs, Sat 9:00 a.m. - 12:00 p.m.",480-807-1493,n/a
St. Mark’s Episcopal Church Food Pantry,"322 N Horne, Mesa",Mesa,AZ,2nd & 4th Tue of the month: 10:00 a.m. - 11:30 a.m.,480-380-4738,Walk-ins served. No referral required. Photo ID and proof of address.
Streets of Joy,"451 East 4th Pl, Mesa",Mesa,AZ,"Wed 3:00 p.m. - 6:00 p.m.,Sat 1:00 - 4:00 p.m.",480-453-9490,Walk-ins served. No referral required.
United Food Bank,"263 N. Center Street, Mesa",Mesa,AZ,Help Yourself Distribution Fri 8:00 a.m. - noon,480-926-4897,n/a
Paradise Valley Emergency Food Bank,"10862 N 32nd St, Phoenix",Phoenix,AZ,Mon - Fri 9:00 a.m. - 4:00 p.m.,602-867-9228,Walk-ins not accepted. Please call for an appointment. Photo ID and proof of address within the Paradise Valley Unified School District.
All Tribes Assembly of God Church,"1710 W Highland Ave, Phoenix",Phoenix,AZ,1st and 3rd Fri of the month Doors open 5:00 p.m. - 6:00 p.m.,602-728-0699,n/a
Andre House of Arizona Inc,"213 S 11th Ave, Phoenix",Phoenix,AZ,"Breakfast Sat 7:30 a.m. - 8:30 a.m. and Sun 7:00 a.m. - 8:00 a.m., Dinner Mon - Thu, Sat, Sun 5:30 p.m. - 6:30 p.m.,Closed Fridays",602-252-9023,Walk-ins served. No referral required.
"Arizona Baptist Children’s Services, Phoenix","2632 W. Augusta Ave, Phoenix",Phoenix,AZ,"Mon 8:30 a.m. - 12:30 p.m.,Wed 12:30 p.m. - 4:30 p.m.",602-346-2300,Walk-ins served. No referral required. Photo ID required.
Black Family & Child Services of Arizona,"1522 E Southern Ave, Phoenix",Phoenix,AZ,Mon - Fri 8:30 a.m. - 5:00 p.m.. Food distribution on Thu to approved households,602-243-1773,Appointment to complete paperwork. Completed referral. Photo ID and proof of address.
Chicanos Por La Causa: Casa de Primavera,"1617 N 45th Ave, Phoenix",Phoenix,AZ,Lunch Mon - Fri 11:30 a.m. - 12:30 p.m.,602-272-0054,Age 60 or older. Delivery available for disabled/homebound who prequalify.
City of Phoenix: Chinese Senior Center,"2001 W Wahalla Ln, Phoenix",Phoenix,AZ,"Lunch Mon - Fri 12:30 p.m.,Commodities 4th Tue of the month",602-262-6411,Age 60 or older. Under the age of 60 served with a documented disability. Reservation required. Suggested donation of $2.50 per meal.
City of Phoenix: Desert West Senior Center,"6501 W Virginia Ave, Phoenix",Phoenix,AZ,"Lunch Mon, Wed, Fri 11:30 a.m.,Lunch Tue, Thu 11:15 a.m.",602-495-3711,Age 60 or older. Under the age of 60 served with a documented disability. Reservation required. Suggested donation of $2.50 per meal.
City of Phoenix: Devonshire Senior Center,"2802 E Devonshire Ave, Phoenix",Phoenix,AZ,"Lunch Mon - Fri 11:20 a.m.,Commodities 2nd & 3rd Wed of the month 9:00 a.m.",602-262-7807,Age 60 or older. Under the age of 60 served with a documented disability. Reservation required. Suggested donation of $2.50 per meal.
City of Phoenix: Helen Drake Senior Center,"7600 N 27th Ave, Phoenix",Phoenix,AZ,"Breakfast Tue, Fri 8:00 a.m.,Lunch Mon - Fri noon,Commodities 4th Mon of the month 12:45 p.m.",602-262-4949,Age 60 or older. Under the age of 60 served with a documented disability. Reservation required. Suggested donation of $2.50 per meal.
City of Phoenix: South Mountain Senior Center,"212 E Alta Vista Rd, Phoenix",Phoenix,AZ,"Breakfast Tue 8:30 a.m.,Lunch Mon- Fri 11:30 a.m.",602-262-4093,Eligibility: Age 60 or older. Under the age of 60 served with a documented disability. Reservation required. Suggested donation of $2.50 per meal.
Covenant of Grace Ministries,"906 W Peoria Ave, Phoenix",Phoenix,AZ,Tue 11:30 a.m. - 1:30 p.m.,602-678-0999,Eligibility: Walk-ins served. No referral required. Photo ID and proof of address.
Cultural Cup Food Bank,"342 E Thomas Rd, Phoenix",Phoenix,AZ,Tues - Thu 9:00 a.m. - 1:45 p.m.,602-266-8370,Walk-ins served. No referral required. Photo ID and proof of address.
Desert Christian Fellowship,"1445 W Northern Ave, Phoenix",Phoenix,AZ,"Food boxes Sun 8:00 a.m. - 9:00 a.m.,Mobile pantry 3rd Fri of the month 7:00 a.m. - 9:00 a.m.",602-861-4008,Walk-ins served. No referral required.
Desert Mission Food Bank,"9229 N 4th St, Phoenix",Phoenix,AZ,"Mon, Tue, Thu 8:30 a.m. - 4:00 p.m.,Wed 8:30 a.m. - 5:30 p.m.,Fri 8:30 a.m. - 2:30 p.m.,Closing at noon Tues Mar 31",602-870-6062,Walk-ins served. No referral required. Photo ID and proof of address.
FIBCO Family Services Inc,"1141 E Jefferson St, Phoenix",Phoenix,AZ,"Registration Tue 10:30 a.m. - 1:30 p.m. & Wed 10:30 a.m. - 11:30 a.m.,Food box distribution Fri 10:00 a.m.,Brown Bag Lunches Tue, Wed, Fri 10:30 a.m. - 1:30 p.m.",602-385-3900,Walk-ins served. No referral required. Photo ID and proof of address
First Southern Baptist Church: Phoenix,"3100 W Camelback Rd, Phoenix",Phoenix,AZ,Wed 9:00 a.m. - 11:00 a.m.,602-242-6104,Walk-ins served. No referral required. Photo ID and proof of address.
Friendly House,"723 S 1st Ave, Phoenix",Phoenix,AZ,Mon - Thu 8:30 a.m. - 11:00 a.m.,602-257-1870,Walk-ins served. No referral required. Photo ID and proof of address.
Harvest Compassion Center - Maryvale,"4002 N. 67th Ave., Phoenix",Phoenix,AZ,"Tues and Fri 9 a.m. - 11:30 a.m.,4th Sat of every month 9 a.m. - 11:30 a.m.",623-247-0039,Walk-ins served. No referral required. Arizona ID and/or utility bill or current lease required.
ICM Food & Clothing Bank,"501 S 9th Ave, Phoenix",Phoenix,AZ,Mon - Sat 9:00 a.m. - 11:00 a.m.,602-254-7450,Walk-ins served. No referral required. Photo ID and proof of address.
Joshua Tree Feeding Program,"214 E Willetta St, Phoenix",Phoenix,AZ,"Registration Wed 9:30 a.m. - 11:45 a.m.,Food box distribution Wed 10:00 a.m. - noon",602-264-0223,HIV+ ONLY. Client application and contract. Proof of address and income. All clients must call to reserve a food box by 5:00 p.m. on the Sunday prior to distribution.
Lisa Schexneider Ministries,"1502 W. Northern Ave., Phoenix",Phoenix,AZ,Every 3rd Thurs of the month 8:00 a.m. - 10:00 a.m.,623-255-1905,Walk-ins served. No referral required.
Living Streams Church Food Pantry,"7000 N Central Ave, Phoenix",Phoenix,AZ,Tues - Thu 9:00 a.m. - 10:45 a.m.,602-957-7500,Walk-ins served. No referral required. Photo ID and proof of address.
Mercy Hill Church,"745 W Fillmore St, Phoenix",Phoenix,AZ,Tue 9:00 a.m. - noon,602-252-1423,Walk-ins served. No referral required. Photo ID.
Neighborhood Ministries Inc.,"1929 W. Fillmore St., Phoenix",Phoenix,AZ,Fri 9:30 a.m. - 11:00 a.m.,630-561-3009,Walk-ins served. No referral required. Photo ID and proof of address.
Olives Branch Food Closet,"3546 E Thomas Rd, Phoenix",Phoenix,AZ,Thu 1:00 p.m. - 4:00 p.m.,602-441-5301,Walk-ins served. No referral required. Photo ID and proof of address.
Open Door Fellowship Church,"8301 N 19th Ave, Phoenix",Phoenix,AZ,"2nd & 4th Sat of the month Oct - Apr 9:00 a.m. - 11:30 a.m.,2nd & 4th Sat of the month May - Sep 8:00 a.m. - 10:30 a.m.",602-242-4414,Walk-ins served. No referral required. Photo ID and proof of address.
Operation Care Food Bank,"1827 W Grovers Ave, Phoenix, AZ, 85023",Phoenix,AZ,"Tue, Thu 9:00 a.m. - 11:30 a.m.",602-866-0135,Walk-ins served. No referral required. Photo ID and proof of address.
Paradise Valley Emergency Food Bank,"10862 N 32nd St, Phoenix,",Phoenix,AZ,Mon - Fri 9:00 a.m. - 4:00 p.m.,602-867-9228,Walk-ins not accepted. Please call for an appointment. Photo ID and proof of address within the Paradise Valley Unified School District.
Phoenix Rescue Mission,"1801 S 35th Ave, Phoenix",Phoenix,AZ,"TEFAP 2nd and 4th Sat of every month 8am- 1pm, M-F 6:30am- 8am,11:30am-1pm, 4:30pm-6pm,Sat - Sun 8am-9am,1-2pm,4:30pm",602-233-3000,Walk-ins served. No referral required.
Rio Vista Center,"1431 E Southern Ave, Phoenix",Phoenix,AZ,Tue - Thu 9:00 a.m. - noon,602-243-1866,Walk-ins served. No referral required. Photo ID and proof of address.
Salvation Army: Laura Danieli Senior Activity Center,"613 N 4th Ave, Phoenix",Phoenix,AZ,Mon - Fri 11:30 a.m. - 12:00 p.m.,602-251-2007,Age 60 or older. Under the age of 60 served with a documented disability. Suggested donation of $2.50.
Salvation Army: Phoenix Social Service Office,"2707 E Van Buren St, Phoenix",Phoenix,AZ,Mon - Fri 8:00 a.m. - noon,602-267-4122,Call for requirements. Walk-ins served for food only.
Seventh-Day Adventist Community Service Center,"1320 N 15th St, Phoenix",Phoenix,AZ,"Food boxes T,W,Th 9:30am-11:30am,Mobile pantry 4th Mon of the month, Sack lunches T,W, Th9:30 am",602-258-9951,Walk-ins served. No referral required. Photo ID and proof of address. Must meet federal poverty guidelines.
Society of St Vincent de Paul: Family Dining Room,"420 W Watkins Rd, Phoenix",Phoenix,AZ,M-F 4:45 p.m. - 6:00 p.m,602-254-3338,Families with children only
Society of St Vincent de Paul: Human Services Campus,"1075 W Jackson St, Phoenix",Phoenix,AZ,"M-F 7am - 8am, M-F 11:00am-12:45pm, Sat - Sun 11am-12:45pm",602-850-6746,n/a
Society of St Vincent de Paul: St Augustine,"3630 N 71st Ave, Phoenix",Phoenix,AZ,Call on Tue from 9:00 a.m. - 11:30 a.m. or Thu 5:00 p.m. - 7:00 p.m. to make an appointment for a food box,623-418-7160,No walk-ins accepted. Photo ID and proof of address.
Society of St Vincent de Paul: St Gregory’s,"3424 N 18th Ave, Phoenix",Phoenix,AZ,Mon - Sat 9:00 a.m. - 10:00 a.m.,602-266-4884,"Possible delivery of food boxes in certain situations, call for details."
Society of St Vincent de Paul: Sunnyslope ,"9227 N 10th Ave, Phoenix",Phoenix,AZ,"M-F 11:00am- 12:30 pm, M-Sun 4:30pm-5:30pm",602-944-0139,Walk-ins served. No referral required.
South Mountain Community College,"7050 S 24th St, Phoenix",Phoenix,AZ,Produce market 1st and 3rd Fri of the month 7:00 a.m. - 10:00 a.m.,602-243-8069,Walk-ins served. No referral required. Cash only/co-op box.
South Phoenix Missionary Baptist Church,"2006 E Broadway Rd, Phoenix",Phoenix,AZ,"Food boxes Th 8:30am-11am, Vegies 2nd and 4th Tue of the month 7am, Sat 8am",602-268-2512,Walk-ins served. No referral required.
St Luke’s at the Mountain Agradecimiento Food Pantry,"848 E Dobbins Rd, Phoenix",Phoenix,AZ,"M,W,F 9am- noon, Mobile food pantry 2nd Sat of the month at 6am & 4th Sat of month at noon",602-276-7318,Walk-ins served. No referral required. Delivery available in some situations (call for details).
St. Mary’s Food Bank Alliance: Knight Center,"3131 W Thomas Rd, Phoenix",Phoenix,AZ,Mon - Fri 9:00 a.m. - 4:00 p.m.,602-242-3663,Walk-ins served. No referral required. Photo ID and proof of address.
St. Stephen’s Episcopal Church,"2310 N 56th St, Phoenix",Phoenix,AZ,Wed 9:00 a.m. - noon,602-840-0437,Walk-ins served. No referral required. Photo ID and proof of address.
Tanner Chapel AME Church,"20 S 8th St, Phoenix",Phoenix,AZ,"Tue, Fri 11:00 a.m. - 3:00 p.m.",602-253-8426,Walk-ins served. No referral required.
Salt River Pima-Maricopa Indian Community Food Distribution Program,"1952 N Longmore Rd, Scottsdale",Scottsdale,AZ,"Mon, Wed, Fri 8:00 a.m. - 5:00 p.m.",480-362-5630,Reside within and be an enrolled member of Salt River Pima-Maricopa Indian Community. At or below 185% of the federal poverty level.
Tempe Community Action Agency: Granite Reef Senior Center,"1700 N Granite Reef Rd, Scottsdale",Scottsdale,AZ,"Coffee and treats M,W,F 9am, M-F 11:30am",480-312-1700,Age 60 or older. Those under the age of 60 served with a documented disability. Reservation required. Suggested donation of $3.50 per meal.
Vista del Camino,"7700 E Roosevelt St, Scottsdale",Scottsdale,AZ,M-F 8am- 5pm,480-312-2323,Photo ID and proof of address in Scottsdale. Call for an appointment.
Banner Olive Branch Senior Center,"11250 W 107th Ave, Sun City",Sun City,AZ,"T,W 7-9am, M-F 11am",623-465-6000,Age 60 or older. Those under the age of 60 served with a documented disability. Reservation required. Suggested donation of $3.50 per meal. Delivery available for disabled/homebound who prequalify.
Salvation Army: Sun City Corps,"17420 N Avenue of the Arts Blvd, Surprise",Surprise,AZ,Mon - Fri 9:00 a.m. - 11:30 a.m.,623-977-1084,Walk-ins served. No referral required. Photo ID and proof of address.
St. Mary’s Food Bank Alliance: Surprise,"13050 W Elm St, Surprise",Surprise,AZ,Mon - Fri 9:00 a.m. - 4:00 p.m.,602-242-3663,Walk-ins served. No referral required. Photo ID and proof of address.
Compassion in Action at First Baptist Church of Tempe,"4525 S McClintock Dr, Tempe",Tempe,AZ,3rd Sat 8:30 a.m. - 10:30 a.m.,480-220-0602,HIV+ ONLY. Must pre-order food boxes.
Saint Vincent de Paul: Resurrection Church,"3201 South Evergreen Road, Tempe",Tempe,AZ,Tues and Thurs 9:00 a.m. - 11:00 a.m.,480-329-0968,Walk-ins served. No referral required.
Salvation Army: Tempe Corps,"714 S Myrtle Ave, Tempe",Tempe,AZ,"M-Th 1pm- 3pm, F 9am-11am",480-967-8649,Walk-ins served. No referral required. Photo ID and proof of address in Tempe or Guadalupe.
Society of St Vincent de Paul: Our Lady of Mt Carmel,"2121 S Rural Rd, Tempe",Tempe,AZ,Mon-Sat 9am-11am,480-966-1974,"Families with children, elderly and disabled."
Tempe Community Action Agency,"2146 E Apache Blvd, Tempe",Tempe,AZ,"M-F 9am-noon, T, Th 4:30p.m. - 6:30p.m.",480-422-8922,Walk-ins served. No referral required. Photo ID and proof of address in Tempe.
Tempe Community Action Agency: Granite Reef Senior Center,"1700 N Granite Reef Rd, Scottsdale",Tempe,AZ,"Coffee M,W,F 9am, M-F 11:30 a.m.",480-312-1700,Age 60 or older. Under age 60 with a documented disability. Reservation required. Suggested donation of $3.50 per meal.
Tempe Community Action Agency: North Tempe Senior Center,"1555 N Bridalwreath St, Tempe",Tempe,AZ,Wed 8:00a.m. - 1:00p.m.,480-858-6512,Age 60 or older. Under age 60 with a documented disability. Walk-ins served. No referral required. Suggested donation of $4.00 per meal. Delivery available for disabled/homebound who prequalify.
Tempe First United Methodist Church,"215 E University Dr, Tempe",Tempe,AZ,"Mon, Fri 6:00 a.m. - 10:00 a.m.",480-967-3376,Eligibility: Walk-ins served. No referral required.
Tempe Lighthouse,"903 S. George Dr., Tempe",Tempe,AZ,Sat 8:00 a.m. - 10:00 a.m.,480-277-3775,Walk-ins served. No referral required.
Family Worship Center Tolleson,"9156 W Van Buren St, Tolleson",Tolleson,AZ,Last Thurs of every month at 2pm,623-205-5580,Walk-ins served. No referral required.
Tolleson Food Bank,"10 S 93rd Ave, Tolleson",Tolleson,AZ,Mon - Thur 6:00 a.m. - 9:00 a.m.,623-936-5199,n/a
First Southern Baptist Church,"360 W Yavapai St, Wickenburg",Wickenburg,AZ,2nd & 4th Wed of the month 4:00 p.m. - 6:00 p.m.,928-668-0227,Walk-ins served. No referral required.
Foundation for Senior Living: Wickenburg CAP,"255 N Washington St, Wickenburg",Wickenburg,AZ,"Emergency food boxes MWF 8am-4:30pm, Mobile Food Pantry-4th Tuesday of month, CSFP Senior boxes Tuesday after 3rd Monday",928-684-7894,n/a
Gila Bend Community Action Program,"202 N Euclid Ave, Gila Bend",Gila Bend,AZ,Mon - Fri 8 a.m. - 4 p.m.,928-683-2244,Walk-ins served. No referral required. Gila Bend residents only. Call for requirements.
