type,district,Place ,Address,city,state,Service,Age,NeedstoRegister,Incomebased,opendate,hours,Phone,latitude,longitude
community,Nogales,Community Food Bank,"2636 North Donna Avenue, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 9-9:15 a.m.; Lunch Noon-12:20 p.m.,,31.3803883,-110.93984
community,Nogales,Lomas Mariposa Apartments,"1790 North Loma Mariposa, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8-8:20 a.m.; Lunch 11:30-11:50 a.m.,,31.3624658,-110.93365
community,Nogales,Mariposa Manor,"945 West Manor Drive, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8:25-8:40 a.m.; Lunch Noon-12:30 p.m.,,31.359999,-110.95286
community,Nogales,Nogales Public Library,"518 North Grand Avenue, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8:25-8:30 a.m.; Lunch Noon-12:20 p.m.,,31.3407334,-110.93604
community,Nogales,Pete Kitchen Trailer,"Cochise Drive, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8:25-8:30 a.m.; Lunch Noon-12:20 p.m.,,31.3624658,-110.93365
community,Nogales,"Rolling Hills, near Coronado Elementary","Al Harrison Road, Nogales",Nogales,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8-8:20 a.m.; Lunch 11:30-11:50 a.m.,,31.3624658,-110.93365
school,Flowing Wells,Centennial Elementary,2200 West Wetmore Road,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 7:30-8:30 a.m.; Lunch noon-1 p.m.,,32.2884015,-111.01406
school,Flowing Wells,Homer Davis Elementary,4250 North Romero Road,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 7:30-8:30 a.m.; Lunch noon-1 p.m.,,32.2843517,-111.0021
school,Flowing Wells,Walter Douglas Elementary,3302 North Flowing Wells Road,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 7:30-8:30 a.m.; Lunch noon-1 p.m.,,32.2668604,-110.99435
school,Flowing Wells,J. Roberts Hendricks Elementary,3400 West Orange Grove Road,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 7:30-8:30 a.m.; Lunch noon-1 p.m.,,32.3238351,-111.03865
school,Flowing Wells,Laguna Elementary,5001 North Shannon,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 7:30-8:30 a.m.; Lunch noon-1 p.m.,,32.2983093,-111.02945
school,Flowing Wells,Richardson Elementary,6901 North Camino De La Tierra,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 7:30-8:30 a.m.; Lunch noon-1 p.m.,,32.1569015,-110.87751
school,Flowing Wells,Flowing Wells Junior High,4545 North La Cholla Boulevard,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 7:30-8:30 a.m.; Lunch noon-1 p.m.,,32.1569015,-110.87751
school,Flowing Wells,Flowing Wells High School,3725 North Flowing Wells Road,Tucson,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 7:30-8:30 a.m.; Lunch noon-1 p.m.,,32.2739848,-110.99529
school,Osborn School District,Encanto/Clarendon Elementary,1225 West Clarendon Ave,Phoenix,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast/Lunch 10:30 - 11:30 a.m.,6027072200,33.5721625,-112.08797
school,Osborn School District,Solano Elementary ,1526 W Missouri Ave,Phoenix,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast/Lunch 10:30 - 11:30 a.m.,6027072600,33.5721625,-112.08797
school,Osborn School District,Longview Elementary School,1209 East Indian School Road,Phoenix,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast/Lunch 10:30 - 11:30 a.m.,6027072700,33.4936528,-112.05515
school,Osborn School District,Montecito Community School,715 East Montecito Avenue,Phoenix,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast/Lunch 10:30 - 11:30 a.m.,6027072000,33.4982802,-112.06378
school,Osborn School District,Osborn Middle School,1102 West Highland Avenue,Phoenix,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast/Lunch 10:30 - 11:30 a.m.,6027072400,33.5075828,-112.08779
school,Osborn School District,Budget Suites of America,611 West Indian School Road,Phoenix,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast/Lunch 10:30 - 11:30 a.m.,6022773400,33.4935048,-112.08183
school,Osborn School District,Osborn School District,3102 North 18th Avenue,Phoenix,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast/Lunch 10:30 - 11:30 a.m.,,33.5721625,-112.08797
school,Santa Cruz Valley,Calabasas School,"131 Camino Maricopa, Rio Rico",Rio Rico,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast/Lunch,,31.4957016,-110.9886
school,Santa Cruz Valley,Coatimundi Middle,"1412 West Frontage Road, Rio Rico",Rio Rico,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast/Lunch,,31.5080058,-111.01523
school,Santa Cruz Valley,Mountain View Elementary,"580 Camino Lito Galindo, Rio Rico",Rio Rico,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast/Lunch,,31.4957016,-110.9886
school,Avondale,Collier Elementary,"350 S 118th Ave, Avondale",Avondale,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,"First pickup March 18, second pickup March 25",4pm-6pm. Go back of school by kitchen.,,33.4419365,-112.31292
school,Avondale,Estrella Vista STEM Academy,"11905 W Cocopah St, Avondale",Avondale,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,"First pickup March 18, second pickup March 25",4pm-6pm. Pickup in front of school.,,33.4308749,-112.31377
school,Avondale,Fine Arts Academy,"1700 S 103d Ave., Tolleson",Avondale,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,"First pickup March 18, second pickup March 25",4pm-6pm. Pickup in front of school.,,33.3882878,-112.32367
school,Avondale,Littleton STEM Academy,"1252 S Avondale Blvd, Avondale",Avondale,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,"First pickup March 18, second pickup March 25",4pm-6pm. Pickup in front of school.,,33.4344435,-112.30862
school,Avondale,Quentin STEM Academy,"11050 W Whyman Ave, Avondale",Avondale,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,"First pickup March 18, second pickup March 25",4pm-6pm. Pickup in front of school.,,33.4258711,-112.29844
school,Avondale,Tres Rios Service Academy,"5025 S 103rd Ave, Tolleson",Avondale,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,"First pickup March 18, second pickup March 25",4pm-6pm. Pickup in front of school.,,33.3882878,-112.32367
community,Phoenix,Andre House,"2831 N. 31st Ave, Phoenix",Phoenix,AZ,Emergency food boxes provided.,N/A,Proof of Address may be needed,N/A,See Hours of operation,See Hours of operation,,33.4790806,-112.12461
school,Phoenix,Alhambra High School,"3839 West Camelback Road, Phoenix",Phoenix,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,Breakfast 8am-9am; Lunch 11am-12pm,,33.5076244,-112.14069
community,Glendale,La Piazza al forno,"5803 W. Glendale Ave., Glendale",Glendale ,AZ,free meal for kid who depend on school meal,N/A,No,No,See Hours of operation,See Hours of operation,623-847-3301,33.5383823,-112.18396
community,Gilbert,Sal's Gilbert Pizza,"1150 S Gilbert Rd, Gilbert",Gilbert,AZ,kids will get to pick 1 kids meal no charge. Let them know when you come in.,N/A,No,No,T-F,10am-3pm,480-633-2226,33.3290595,-111.79083
community,Mesa,Paz de Cristo,"424 W Broadway Rd, Mesa",Mesa,AZ,grab-and-go dinners,N/A,No,No,See Hours of operation,10AM-3PM. Dinner given out every night.,,33.4081229,-111.84096
school,Phoenix,Arredondo Elementary,1330 E. Carson Dr.,Tempe 85282,AZ,grab-and-go breakfast and lunch,1to 18 yr old,Complete Survey https://forms.gle/Qjtirn69bmaNbgL3A,No,M-F,Breakfast 7:15am-8:45am; Lunch 11:30am-12:30pm ,,33.3882925,-111.93183
school,Tempe,Connolly Middle School,2002 E. Concorda Dr.,Tempe 85282,AZ,grab-and-go breakfast and lunch,1to 18 yr old,Complete Survey https://forms.gle/Qjtirn69bmaNbgL3A,No,M-F,Breakfast 7:15am-8:45am; Lunch 11:30am-12:30pm ,,33.3882925,-111.93183
school,Tempe,Frank Elementary,8409 S. Avenida del Yaqui,Guadalupe 85283,AZ,grab-and-go breakfast and lunch,1to 18 yr old,Complete Survey https://forms.gle/Qjtirn69bmaNbgL3A,No,M-F,Breakfast 7:15am-8:45am; Lunch 11:30am-12:30pm ,,33.3663622,-111.96306
school,Tempe,Holdeman Elementary,1326 W. 18th St.,Tempe 85281,AZ,grab-and-go breakfast and lunch,1to 18 yr old,Complete Survey https://forms.gle/Qjtirn69bmaNbgL3A,No,M-F,Breakfast 7:15am-8:45am; Lunch 11:30am-12:30pm ,,33.4019259,-111.71738
school,Tempe,Laird School,1500 N. Scovel St.,Tempe 85281,AZ,grab-and-go breakfast and lunch,1to 18 yr old,Complete Survey https://forms.gle/Qjtirn69bmaNbgL3A,No,M-F,Breakfast 7:15am-8:45am; Lunch 11:30am-12:30pm ,,33.3882925,-111.93183
school,Tempe,Nevitt Elementary,4525 E. St. Anne Ave.,Phoenix 85042,AZ,grab-and-go breakfast and lunch,1to 18 yr old,Complete Survey https://forms.gle/Qjtirn69bmaNbgL3A,No,M-F,Breakfast 7:15am-8:45am; Lunch 11:30am-12:30pm ,,33.3882925,-111.93183
school,Tempe,Scales Technology Academy,1115 W. 5th St.,Tempe 85281,AZ,grab-and-go breakfast and lunch,1to 18 yr old,Complete Survey https://forms.gle/Qjtirn69bmaNbgL3A,No,M-F,Breakfast 7:15am-8:45am; Lunch 11:30am-12:30pm ,,33.5721625,-112.08797
school,Tempe,Thew Elementary,2130 E. Howe Ave.,Tempe 85281,AZ,grab-and-go breakfast and lunch,1to 18 yr old,Complete Survey https://forms.gle/Qjtirn69bmaNbgL3A,No,M-F,Breakfast 7:15am-8:45am; Lunch 11:30am-12:30pm ,,33.3882925,-111.93183
school,Tempe,Wood Elementary,727 W. Cornell Dr.,Tempe 85283,AZ,grab-and-go breakfast and lunch,1to 18 yr old,Complete Survey https://forms.gle/Qjtirn69bmaNbgL3A,No,M-F,Breakfast 7:15am-8:45am; Lunch 11:30am-12:30pm ,,33.3882925,-111.93183
school,Kyrene School District,Kyrene Family Resource Center (FRC),1330 E. Dava Dr.,Tempe,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,9:30 a.m.-1:30 p.m.,480 541-1660,33.3882925,-111.93183
school,Kyrene School District,Kyrene de la Colina parking lot,13612 S. 36th Street,Phoenix,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10:30 a.m.-12:30 p.m.,480 541-1660,33.3882925,-111.93183
school,Kyrene School District,Pueblo Middle School parking lot,360 S. Twelve Oaks Boulevard,Chandler,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10:30 a.m.-12:30 p.m.,480 541-1660,33.5721625,-112.08797
school,Kyrene School District,Pascua Yaqui Building,"Itom Hiapsi, 9405 S. Avenida Del Yaqui",Guadalupe,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,10:00 a.m.-12:30 p.m.,480 541-1660,33.2968979,-111.92799
school,Kyrene School District,South Mountain Community Center,"212 E Alta Vista Rd,",Phoenix,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,12:15 p.m.-1:15 p.m.,480 541-1660,33.3663622,-111.96306
school,Kyrene School District,"Gila River Reservation, Thwajik Ki Treatment Center",3850 N. 16th St,Chandler,AZ,grab-and-go breakfast and lunch,1to18 yr old,No,No,M-F,12:15 p.m.-1:15 p.m.,480 541-1660,33.3894991,-112.07064
school,Santa Cruz,Coatimundi MS,"1412 W Frontage Rd, Rio Rico",Rio Rico,AZ,,1to18 yr old,,,,11am-1pm,,33.2828736,-111.85494
school,Santa Cruz,Mountain View Elem,"580 Camino Lito Galindo, Rio Rico",Rio Rico,AZ,,1to18 yr old,,,,11am-1pm,,31.5080058,-111.01523
school,Santa Cruz,Calabasas K-8,"131 Camino, Maricopa, Rio Rico",Rio Rico,AZ,,N/A,,,,11am-1pm,,31.4957016,-110.9886
community,Benson,Benson Food Bank,"1120 W 4th St, Benson",Benson,AZ,Food Boxes,N/A,,,,All Day,,31.4957016,-110.9886
community,Flagstaff,Flagstaff Family Food Center,"3805 E Huntington Dr, Flagstaff",Flagstaff,AZ,Meals,N/A,,,,All Day,,31.9154836,-110.3255
school,Phoenix #1,Garfield School,"811 N 13th St, Phoenix",Phoenix,AZ,Breakfast/Lunch,1to18 yr old,,,,10am-1pm,,35.2138212,-111.59371
school,Phoenix #1,Magnet Traditional,"2602 N 23rd Ave, Phoenix,",Phoenix,AZ,Breakfast/Lunch,N/A,,,,10am-1pm,,33.45773,-112.05321
school,Phoenix,St. Mary's Food Bank,Thomas and 31st Ave,Phoenix,AZ,Food Boxes,N/A,,,,All Day,,33.5721625,-112.08797
school,Scottsdale USD,Navajo Elementary,"7501 E. Oak St., Scottsdale",Scottsdale,AZ,Meals,1to 18yrs old ,No,No,M-F,9:30am-11am,,33.5721625,-112.08797
school,Scottsdale USD,Tavan Elementary,"4610 E. Osborn Rd., Scottsdale",Scottsdale,AZ,Meals,1to 18yrs old ,No,No,M-F,9:30am-11am,,33.4720575,-111.91871
school,Scottsdale USD,Yavapai Elementary,"701 N. Miller Rd., Scottsdale",Scottsdale,AZ,Meals,1to 18yrs old ,No,No,M-F,9:30am-11am,,33.6871976,-111.8651
school,Scottsdale USD,Tonelea K-8,"6720 E. Continental Dr., Scottsdale",Scottsdale,AZ,Meals,1to 18yrs old ,No,No,M-F,9:30am-11am,,33.5050384,-111.91014
school,Mesa SD,Adams Elementary School,"738 South Longmore, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4591621,-111.93725
school,Mesa SD,Brinton Elementary,"11455 East Sunland Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3966105,-111.58268
school,Mesa SD,Bush Elementary,"4925 East Ingram Street, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4470476,-111.72381
school,Mesa SD,Crismon Elementary School,"825 West Medina Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3713151,-111.85232
school,Mesa SD,Edison Elementary School,"545 North Horne, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4019259,-111.71738
school,Mesa SD,Eisenhower Center for Innovation,"848 North Mesa Drive, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4311417,-111.82294
school,Mesa SD,Emerson Elementary School,"415 North Westwood, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4019259,-111.71738
school,Mesa SD,Entz Elementary School,"4132 East Adobe Street, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4302212,-111.74123
school,Mesa SD,Falcon Hill Elementary School,"1645 North Sterling, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4019259,-111.71738
school,Mesa SD,Field Elementary School,"2325 East Adobe Street, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4297548,-111.7817
school,Mesa SD,Franklin East Elementary School,"	1753 East 8th Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3971329,-111.7958
school,Mesa SD,Franklin West Elementary,"236 South Sirrine Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4092682,-111.82919
school,Mesa SD,Franklin at Alma Elementary,"1313 West Medina Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3711142,-111.86203
school,Mesa SD,Franklin at Brimhall Elementary,"4949 East Southern Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3935589,-111.72501
school,Mesa SD,Guerrero Elementary School,"463 South Alma School Road, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4065418,-111.85641
school,Mesa SD,Hale Elementary School,"1425 North 23rd Street, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4415778,-111.78149
school,Mesa SD,Hermosa Vista Elementary School,"2626 North 24th Street, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4637822,-111.77947
school,Mesa SD,Highland Elementary School,"3042 East Adobe Street, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4301827,-111.76543
school,Mesa SD,Holmes Elementary School,"948 South Horne Street, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3979685,-111.81437
,Mesa SD,Hughes Elementary School,"630 North Hunt Drive, Mesa",Mesa,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4268734,-111.79822
school,Mesa SD,Irving Elementary School,"3220 East Pueblo Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4011204,-111.76055
school,Mesa SD,Ishikawa Elementary School,"2635 North 32nd Street, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4638736,-111.76165
school,Mesa SD,Jefferson Elementary School,"120 South Jefferson Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4122364,-111.67844
school,Mesa SD,Johnson Elementary School,"3807 East Pueblo Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4007575,-111.74789
school,Mesa SD,Keller Elementary School,"1445 East Hilton Avenue, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3883871,-111.7997
school,Mesa SD,Kerr Elementary School,"125 East Mclellan Road, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4439745,-111.82815
school,Mesa SD,Las Sendas Elementary School,"3120 North Red Mountain, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4731886,-111.67717
school,Mesa SD,Lehi Elementary School,"2555 North Stapley Drive, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4620573,-111.8046
school,Mesa SD,Lincoln Elementary School,"931 South Sirrine, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4019259,-111.71738
school,Mesa SD,Lindbergh Elementary School,"930 South Lazona Drive, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3979292,-111.80181
school,Mesa SD,Longfellow Elementary School,"345 South Hall, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4019259,-111.71738
school,Mesa SD,Lowell Elementary School,"920 E Broadway Rd, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4080197,-111.81079
school,Mesa SD,MacArthur Elementary School,"1435 East McLellan Road, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.444084,-111.79979
school,Mesa SD,Madison Elementary School,"849 South Sunnyvale, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4019259,-111.71738
school,Mesa SD,Mendoza Elementary School,"5831 East McLellan Road, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4445401,-111.70535
school,Mesa SD,O'Connor Elementary School,"4840 East Adobe Road, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4302634,-111.72643
school,Mesa SD,Patterson Elementary,"615 South Cheshire, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4019259,-111.71738
school,Mesa SD,Pomeroy Elementary School,"1507 West Shawnee Drive, Chandler",Chandler,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3432936,-111.8677
school,Mesa SD,Porter Elementary School,"1350 South Lindsay Road, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.3908872,-111.77153
school,Mesa SD,Red Mountain Ranch Elementary,"6650 East Raftriver Street, Mesa",Mesa ,AZ,grab-and-go breakfast and lunch,1to 18yrs old ,No,No,M-F,11am-1pm,,33.4823572,-111.68713
